Accession,GOids,GOterms,Score,Signal Peptide,Mitochondrion Transit Peptide,Chloroplast Transit Peptide,Transmembrane Alpha Helix,Transmembrane Beta Strand,GPI-anchor
KAI7838609.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7838614.1,GO:0005615,C:extracellular space,1.0,1-22,,,,,
KAI7838617.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7838618.1,GO:0005886,C:plasma membrane,0.88,,,,146-170,,
KAI7838623.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7838625.1,GO:0009507,C:chloroplast,0.94,,,,,,
KAI7838626.1,GO:0005886,C:plasma membrane,0.91,,,,144-161;197-221;271-296,,
KAI7838627.1,GO:0031090,C:organelle membrane,0.71,,,,23-42,,
KAI7838657.1,GO:0012505,C:endomembrane system,0.9,,,,179-193,,
KAI7838679.1,GO:0005615,C:extracellular space,0.89,,,,,,
KAI7838688.1,GO:0031966,C:mitochondrial membrane,0.84,,1-32,,90-106;216-238;571-590;638-658;928-942;958-978,,
KAI7838690.1,GO:0031090,C:organelle membrane,0.96,,,,313-330,,
KAI7838691.1,GO:0009507,C:chloroplast,0.7,,,,,,
KAI7838692.1,GO:0009507,C:chloroplast,0.7,,,,,,
KAI7838708.1,GO:0031090,C:organelle membrane,0.94,,,,148-171,,
KAI7838722.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7838730.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7838733.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7838735.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7838737.1,GO:0005886,C:plasma membrane,0.92,,,,63-87;93-114;263-290;304-336;666-700;707-725;741-765;839-860;869-889;944-966,,
KAI7838743.1,GO:0005615,C:extracellular space,0.69,,,,,,
KAI7838749.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7838752.1,GO:0005615,C:extracellular space,1.0,,,,,,
KAI7838757.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7838779.1,GO:0005739,C:mitochondrion,0.95,,1-28,,,,
KAI7838787.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7838795.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7838801.1,GO:0005739,C:mitochondrion,0.83,,1-38,,,,
KAI7838805.1,GO:0005739,C:mitochondrion,0.79,,1-43,,,,
KAI7838814.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7838815.1,GO:0005615,C:extracellular space,0.94,1-24,,,,,
KAI7838816.1,GO:0005615,C:extracellular space,0.94,1-24,,,,,
KAI7838822.1,GO:0005886,C:plasma membrane,1.0,,,,220-239;248-269;283-307;309-320;444-471;481-512;811-844;846-868,,
KAI7838825.1,GO:0005886,C:plasma membrane,0.82,,,,62-76,,
KAI7838842.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7838852.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7838862.1,GO:0005739,C:mitochondrion,0.89,,1-67,,,,
KAI7838863.1,GO:0005739,C:mitochondrion,0.89,,1-67,,,,
KAI7838872.1,GO:0012505,C:endomembrane system,0.92,1-20,,,46-57;428-448,,
KAI7838875.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7838877.1,GO:0005615,C:extracellular space,0.95,1-26,,,,,
KAI7838879.1,GO:0005615,C:extracellular space,0.74,,,,,,
KAI7838880.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7838881.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7838891.1,GO:0005886,C:plasma membrane,0.8,,,,681-697,,
KAI7838917.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7838923.1,GO:0009535,C:chloroplast thylakoid membrane,0.62,,,1-36,1674-1694;2251-2265;3392-3409,,
KAI7838924.1,GO:0009535,C:chloroplast thylakoid membrane,0.62,,,1-36,1674-1694;2251-2265;3384-3401,,
KAI7838932.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7838933.1,GO:0005886,C:plasma membrane,0.97,,,,182-205;523-534,,
KAI7838934.1,GO:0005886,C:plasma membrane,0.98,,,,182-205;523-534,,
KAI7838945.1,GO:0005737,C:cytoplasm,0.56,,,,,,
KAI7838946.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7838948.1,GO:0005737,C:cytoplasm,0.66,,,,,,
KAI7838952.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7838954.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7838960.1,GO:0005739,C:mitochondrion,0.87,,1-45,,,,
KAI7838961.1,GO:0005615,C:extracellular space,1.0,1-29,,,,,
KAI7838967.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7838973.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7838986.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839001.1,GO:0009507,C:chloroplast,0.76,,,,,,
KAI7839002.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839004.1,GO:0031090,C:organelle membrane,0.85,,,,8-34;182-193,,
KAI7839006.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839007.1,GO:0005739,C:mitochondrion,0.84,,1-45,,,,
KAI7839010.1,GO:0031966,C:mitochondrial membrane,0.57,,1-68,,754-765;1333-1344;1874-1885;1954-1973,,
KAI7839014.1,GO:0005615,C:extracellular space,0.64,,,,,,
KAI7839018.1,GO:0005886,C:plasma membrane,0.98,,,,950-968,,
KAI7839020.1,GO:0005739,C:mitochondrion,0.92,,1-50,,,,
KAI7839028.1,GO:0005739,C:mitochondrion,0.8,,1-23,,,,
KAI7839032.1,GO:0005886,C:plasma membrane,0.82,,,,39-63;102-125;132-158;191-210;273-299;313-334;340-362;375-399;413-436;442-461,,
KAI7839033.1,GO:0005886,C:plasma membrane,0.95,,,,66-91,,
KAI7839042.1,GO:0009535,C:chloroplast thylakoid membrane,0.62,,,1-24,284-295,,
KAI7839061.1,GO:0031966,C:mitochondrial membrane,0.62,,1-40,,180-203,,
KAI7839065.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839067.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839070.1,GO:0005739,C:mitochondrion,0.76,,1-36,,,,
KAI7839077.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839092.1,GO:0005739,C:mitochondrion,0.8,,1-19,,,,
KAI7839093.1,GO:0005739,C:mitochondrion,0.8,,1-19,,,,
KAI7839096.1,GO:0005886,C:plasma membrane,0.9,,,,271-282;854-872,,
KAI7839106.1,GO:0005739,C:mitochondrion,0.57,,1-34,,,,
KAI7839108.1,GO:0005739,C:mitochondrion,0.93,,1-26,,,,
KAI7839129.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7839148.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839151.1,GO:0005739,C:mitochondrion,0.9,,1-27,,,,
KAI7839157.1,GO:0005886,C:plasma membrane,0.74,,,,62-78;121-136;191-202,,
KAI7839158.1,GO:0005886,C:plasma membrane,0.79,,,,62-77;121-135;193-214,,
KAI7839165.1,GO:0005886,C:plasma membrane,0.7,,,,28-53;65-88;233-261;281-312;970-1004;1013-1032;1055-1079;1098-1119;1132-1153;1167-1187,,
KAI7839167.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839172.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7839200.1,GO:0005615,C:extracellular space,0.91,1-34,,,,,
KAI7839208.1,GO:0005615,C:extracellular space,0.78,1-24,,,,,
KAI7839213.1,GO:0005737,C:cytoplasm,0.77,,,,,,
KAI7839232.1,GO:0005886,C:plasma membrane,0.92,,,,2-36;57-79;88-107;169-190;217-239;245-268;282-299;319-342;349-368,,
KAI7839238.1,GO:0031090,C:organelle membrane,0.84,,,,35-46;131-144,,
KAI7839240.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839245.1,GO:0005615,C:extracellular space,0.99,1-20,,,,,
KAI7839249.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839258.1,GO:0012505,C:endomembrane system,0.66,,,,147-172;231-250,,
KAI7839261.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839262.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839287.1,GO:0009707,C:chloroplast outer membrane,0.84,,,1-34,564-582,,
KAI7839306.1,GO:0012505,C:endomembrane system,0.59,,,,68-90;95-114;124-155,,
KAI7839309.1,GO:0012505,C:endomembrane system,0.88,,,,633-649,,
KAI7839314.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7839328.1,GO:0009507,C:chloroplast,0.51,,,,,,
KAI7839336.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7839353.1,GO:0005615,C:extracellular space,1.0,,,,,,
KAI7839364.1,GO:0005886,C:plasma membrane,0.99,,,,164-187;430-441,,
KAI7839365.1,GO:0009507,C:chloroplast,0.61,,,,,,
KAI7839385.1,GO:0005886,C:plasma membrane,0.99,,,,47-72;78-101;124-150;169-186;193-216;235-257;273-299;318-344;376-397;402-426;436-465,,
KAI7839387.1,GO:0012505,C:endomembrane system,0.86,,,,241-256,,
KAI7839388.1,GO:0012505,C:endomembrane system,0.66,,,,618-635,,
KAI7839389.1,GO:0005739,C:mitochondrion,0.78,,1-59,,,,
KAI7839395.1,GO:0012505,C:endomembrane system,0.91,,,,103-124;131-155;179-198;215-235;240-260;355-380,,
KAI7839397.1,GO:0012505,C:endomembrane system,0.96,,,,26-44;64-82;95-116;218-240;284-309;318-340;353-373;386-412,,
KAI7839398.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7839402.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7839417.1,GO:0012505,C:endomembrane system,0.84,,,,102-122;129-150;177-199;201-220;259-281;305-327;333-355;365-389,,
KAI7839418.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839422.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839423.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839437.1,GO:0005886,C:plasma membrane,0.93,,,,608-619,,
KAI7839438.1,GO:0012505,C:endomembrane system,0.89,,,,421-432,,
KAI7839439.1,GO:0005739,C:mitochondrion,0.86,,1-33,,,,
KAI7839446.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839448.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839449.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839456.1,GO:0012505,C:endomembrane system,0.69,,,,38-63;92-112;118-143;186-204;210-230;237-255,,
KAI7839457.1,GO:0012505,C:endomembrane system,0.97,,,,11-35;52-78;87-116;129-157,,
KAI7839458.1,GO:0009507,C:chloroplast,0.8,,,,,,
KAI7839460.1,GO:0012505,C:endomembrane system,0.83,,,,73-90;130-155;181-201;221-245;263-283;291-311;318-337;447-469,,
KAI7839466.1,GO:0031966,C:mitochondrial membrane,0.87,,1-39,,210-225;498-517;522-540;560-571;579-604;618-638;647-663;671-689;698-721;729-752;763-785;802-821;829-853;860-879;882-906,,
KAI7839481.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839496.1,GO:0005739,C:mitochondrion,0.77,,1-41,,,,
KAI7839512.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7839519.1,GO:0005886,C:plasma membrane,0.85,,,,951-976;1046-1066;1128-1146,,
KAI7839520.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839535.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839545.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839570.1,GO:0005739,C:mitochondrion,0.9,,1-67,,,,
KAI7839571.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839590.1,GO:0031090,C:organelle membrane,0.81,,,,2-36;51-82;87-105;110-126;139-161;186-209;236-254;262-281;290-310;330-351;353-369;373-390;413-438,,
KAI7839602.1,GO:0009507,C:chloroplast,0.88,,,,,,
KAI7839611.1,GO:0005739,C:mitochondrion,0.96,,,,,,
KAI7839624.1,GO:0009507,C:chloroplast,0.69,,,,,,
KAI7839639.1,GO:0009535,C:chloroplast thylakoid membrane,0.74,,,1-39,145-157,,
KAI7839640.1,GO:0005737,C:cytoplasm,1.0,,,,,,
KAI7839642.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839646.1,GO:0005886,C:plasma membrane,0.72,1-33,,,97-113;232-243;382-400;510-526,,
KAI7839648.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839658.1,GO:0005739,C:mitochondrion,0.87,,1-42,,,,
KAI7839659.1,GO:0009535,C:chloroplast thylakoid membrane,0.8,,,1-30,89-100,,
KAI7839664.1,GO:0005615,C:extracellular space,1.0,1-26,,,,,
KAI7839672.1,GO:0005739,C:mitochondrion,0.63,,1-27,,,,
KAI7839677.1,GO:0005739,C:mitochondrion,0.92,,1-39,,,,
KAI7839678.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839689.1,GO:0005739,C:mitochondrion,0.77,,1-56,,,,
KAI7839690.1,GO:0005739,C:mitochondrion,0.77,,1-56,,,,
KAI7839727.1,GO:0005886,C:plasma membrane,0.72,,,,10-33;49-69;76-98;107-127;137-163;174-198;373-399;445-463;472-496,,
KAI7839738.1,GO:0005886,C:plasma membrane,0.82,,,,159-181,,
KAI7839749.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839764.1,GO:0005615,C:extracellular space,0.89,1-19,,,,,
KAI7839770.1,GO:0009507,C:chloroplast,0.83,,,,,,
KAI7839787.1,GO:0031090,C:organelle membrane,0.78,,,,100-121;180-200;215-237;307-336;384-402,,
KAI7839788.1,GO:0031090,C:organelle membrane,0.8,,,,100-121;180-201;215-237;306-335;406-426,,
KAI7839793.1,GO:0012505,C:endomembrane system,0.63,,,,149-169;367-397;412-430;441-461;467-490;497-525;536-557;652-670;690-711;719-739;746-765;814-834;928-939,,
KAI7839808.1,GO:0012505,C:endomembrane system,0.61,,,,3-25;39-65;82-105;114-128;147-177;187-211;223-246;354-375;405-425;443-461;492-517;535-555,,
KAI7839809.1,GO:0031966,C:mitochondrial membrane,0.8,,1-43,,143-161,,
KAI7839810.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839821.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839836.1,GO:0031090,C:organelle membrane,0.63,,,,558-575;1152-1169;1225-1241;1979-1996;2049-2060;3409-3426;3477-3488;4878-4895;4948-4959;5384-5395;5604-5628;5792-5808;6523-6540;6587-6598;7462-7479;7530-7541,,
KAI7839845.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839846.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839859.1,GO:0005615,C:extracellular space,1.0,,,,,,
KAI7839863.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7839868.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839871.1,GO:0012505,C:endomembrane system,0.91,,,,527-538,,
KAI7839884.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839885.1,GO:0009707,C:chloroplast outer membrane,0.89,,,1-51,873-886,,
KAI7839890.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839891.1,GO:0031090,C:organelle membrane,0.77,,,,304-315;317-328;543-563,,
KAI7839904.1,GO:0005739,C:mitochondrion,0.92,,1-46,,,,
KAI7839906.1,GO:0005739,C:mitochondrion,0.95,,1-51,,,,
KAI7839908.1,GO:0031090,C:organelle membrane,0.65,,,,55-77;200-211;213-224,,
KAI7839913.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839914.1,GO:0005739,C:mitochondrion,0.96,,1-21,,,,
KAI7839918.1,GO:0005886,C:plasma membrane,0.91,,,,346-364,,
KAI7839926.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839938.1,GO:0012505,C:endomembrane system,0.46,,,,364-391;425-444,,
KAI7839947.1,GO:0005886,C:plasma membrane,0.99,,,,813-838;940-953;1313-1347;1473-1497;1590-1608,,
KAI7839948.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839958.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839959.1,GO:0031090,C:organelle membrane,0.75,,,,92-112;297-314;446-480,,
KAI7839966.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7839968.1,GO:0005886,C:plasma membrane,0.87,,,,34-57;63-83;87-112;121-143;153-172;205-231;244-266;273-296;310-335;347-368;376-395,,
KAI7839976.1,GO:0005886,C:plasma membrane,0.95,,,,3-18;48-68;74-99;142-159;166-186,,
KAI7839998.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840008.1,GO:0046658,C:anchored component of plasma membrane,1.0,1-23,,,,,1126-1126
KAI7840018.1,GO:0005886,C:plasma membrane,0.88,,,,74-92;194-205;225-243;913-930;1194-1212,,
KAI7840021.1,GO:0009507,C:chloroplast,0.58,,,,,,
KAI7840032.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7840037.1,GO:0005886,C:plasma membrane,0.32,1-28,,,67-78,,
KAI7840049.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840053.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840054.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7840058.1,GO:0005615,C:extracellular space,0.7,,,,,,
KAI7840059.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7840070.1,GO:0005615,C:extracellular space,1.0,1-21,,,,,
KAI7840072.1,GO:0005737,C:cytoplasm,1.0,,,,,,
KAI7840075.1,GO:0031090,C:organelle membrane,0.81,,,,3-29;43-62;69-90;94-119;179-204,,
KAI7840079.1,GO:0009535,C:chloroplast thylakoid membrane,0.81,,,1-24,257-268,,
KAI7840084.1,GO:0012505,C:endomembrane system,0.81,,,,544-555;1105-1123,,
KAI7840088.1,GO:0005737,C:cytoplasm,0.57,,,,,,
KAI7840091.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7840118.1,GO:0012505,C:endomembrane system,0.97,,,,4-30,,
KAI7840126.1,GO:0005886,C:plasma membrane,0.88,,,,586-603,,
KAI7840151.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840160.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840163.1,GO:0005886,C:plasma membrane,0.75,1-18,,,530-541;1116-1127;1435-1447;1477-1492,,
KAI7840167.1,GO:0009707,C:chloroplast outer membrane,0.84,,,1-25,132-148,,
KAI7840168.1,GO:0009707,C:chloroplast outer membrane,0.75,,,1-23,195-206,,
KAI7840174.1,GO:0031090,C:organelle membrane,0.6,,,,3-20;468-488,,
KAI7840189.1,GO:0009707,C:chloroplast outer membrane,0.75,,,1-69,443-454,,
KAI7840194.1,GO:0005739,C:mitochondrion,0.74,,1-40,,,,
KAI7840199.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7840201.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840203.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840204.1,GO:0005737,C:cytoplasm,0.61,,,,,,
KAI7840213.1,GO:0012505,C:endomembrane system,0.95,,,,6-30;32-43;133-152;391-402,,
KAI7840219.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840225.1,GO:0031966,C:mitochondrial membrane,0.61,,1-18,,678-705;723-746;880-904;931-946,,
KAI7840231.1,GO:0005739,C:mitochondrion,0.82,,1-39,,,,
KAI7840233.1,GO:0009707,C:chloroplast outer membrane,0.74,,,1-62,124-135,,
KAI7840235.1,GO:0005615,C:extracellular space,0.73,1-26,,,,,
KAI7840236.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840251.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840257.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840258.1,GO:0012505,C:endomembrane system,0.99,,,,9-38;284-313;444-462,,
KAI7840281.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7840291.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840303.1,GO:0031090,C:organelle membrane,0.51,,,,181-203,,
KAI7840314.1,GO:0005615,C:extracellular space,0.7,,,,,,
KAI7840315.1,GO:0005886,C:plasma membrane,0.86,,,,16-35;394-418;427-448;455-479;673-698;709-732,,
KAI7840319.1,GO:0009507,C:chloroplast,0.92,,,,,,
KAI7840320.1,GO:0005739,C:mitochondrion,0.83,,1-34,,,,
KAI7840326.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7840333.1,GO:0009535,C:chloroplast thylakoid membrane,0.74,,,1-31,471-484,,
KAI7840335.1,GO:0005739,C:mitochondrion,0.62,,1-29,,,,
KAI7840338.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840342.1,GO:0005886,C:plasma membrane,0.74,,,,230-253;744-762,,
KAI7840344.1,GO:0031966,C:mitochondrial membrane,0.86,,1-48,,304-330,,
KAI7840346.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840350.1,GO:0031966,C:mitochondrial membrane,0.67,,1-53,,163-174,,
KAI7840360.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840374.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840378.1,GO:0031966,C:mitochondrial membrane,0.57,,1-33,,257-278;409-420;422-433;565-587;890-901,,
KAI7840385.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840387.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7840389.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840390.1,GO:0012505,C:endomembrane system,0.96,,,,44-67;69-94;150-173;185-218,,
KAI7840423.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840424.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840427.1,GO:0005615,C:extracellular space,1.0,1-15,,,,,
KAI7840431.1,GO:0012505,C:endomembrane system,0.91,,,,4-27;29-49;209-220;331-359;511-533,,
KAI7840432.1,GO:0012505,C:endomembrane system,0.91,,,,4-27;29-49;207-218;331-359;503-525,,
KAI7840433.1,GO:0012505,C:endomembrane system,0.89,,,,6-34;317-346;489-500;502-513,,
KAI7840442.1,GO:0031090,C:organelle membrane,0.83,,,,390-413;423-444;450-473;479-499;511-530;546-562;573-589;606-627;632-656;664-691,,
KAI7840444.1,GO:0005886,C:plasma membrane,0.9,,,,75-93;95-118;159-177;183-206;212-237;240-259;274-292;314-344,,
KAI7840445.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7840454.1,GO:0005886,C:plasma membrane,0.87,,,,90-117;139-164;166-177;207-236;240-265;312-346;358-385;694-719;739-764;766-777;809-838;841-864;921-949;960-988,,
KAI7840455.1,GO:0031966,C:mitochondrial membrane,0.79,,1-82,,142-165;180-202;222-249;274-294;299-332;350-372,,
KAI7840476.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840483.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840492.1,GO:0005615,C:extracellular space,1.0,1-23,,,,,
KAI7840505.1,GO:0012505,C:endomembrane system,0.97,,,,13-38;56-67,,
KAI7840508.1,GO:0012505,C:endomembrane system,0.86,,,,68-93;321-341;374-408;423-449;460-483;489-513;586-609,,
KAI7840509.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840511.1,GO:0005739,C:mitochondrion,0.7,,1-31,,,,
KAI7840521.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840544.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840554.1,GO:0005739,C:mitochondrion,0.9,,1-50,,,,
KAI7840564.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840578.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840579.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7840588.1,GO:0005886,C:plasma membrane,0.84,1-18,,,421-433;636-647;674-689,,
KAI7840589.1,GO:0005886,C:plasma membrane,0.79,1-18,,,424-435;633-644;674-690,,
KAI7840595.1,GO:0005886,C:plasma membrane,0.87,,,,318-339;346-369;389-413;431-451;458-480;581-602;622-647;666-694;708-729;735-760;770-799,,
KAI7840606.1,GO:0031966,C:mitochondrial membrane,0.49,,1-31,,215-234,,
KAI7840608.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7840613.1,GO:0012505,C:endomembrane system,0.91,,,,9-42;67-86;88-109;133-148;165-194,,
KAI7840615.1,GO:0005615,C:extracellular space,0.74,1-20,,,,,
KAI7840620.1,GO:0005886,C:plasma membrane,0.57,,,,3-24;42-65;79-106;169-186;197-226;240-267;324-343;346-367;373-402,,
KAI7840635.1,GO:0009535,C:chloroplast thylakoid membrane,0.83,,,1-37,646-659,,
KAI7840636.1,GO:0009535,C:chloroplast thylakoid membrane,0.83,,,1-37,639-652,,
KAI7840638.1,GO:0005886,C:plasma membrane,0.93,,,,410-434;656-667;693-708,,
KAI7840653.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840656.1,GO:0031090,C:organelle membrane,0.88,,,,90-111;113-131;154-166,,
KAI7840659.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840665.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840670.1,GO:0031090,C:organelle membrane,0.81,,,,299-310;414-425,,
KAI7840677.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840682.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840683.1,GO:0031966,C:mitochondrial membrane,0.86,,1-28,,202-227;264-290,,
KAI7840689.1,GO:0005615,C:extracellular space,0.93,1-24,,,,,
KAI7840691.1,GO:0031090,C:organelle membrane,0.71,,,,218-241,,
KAI7840693.1,GO:0005739,C:mitochondrion,0.72,,1-75,,,,
KAI7840705.1,GO:0009535,C:chloroplast thylakoid membrane,0.62,,,1-27,808-834,,
KAI7840706.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840712.1,GO:0031090,C:organelle membrane,0.8,,,,49-60;150-164,,
KAI7840714.1,GO:0005739,C:mitochondrion,0.52,,1-32,,,,
KAI7840718.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7840720.1,GO:0012505,C:endomembrane system,0.99,,,,21-42;55-87;89-100;123-143;167-178;201-220;237-253;259-282;305-324;374-396;412-431;440-460;475-496,,
KAI7840722.1,GO:0009507,C:chloroplast,0.85,,,,,,
KAI7840725.1,GO:0031966,C:mitochondrial membrane,0.93,,1-49,,459-476;481-500,,
KAI7840732.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840743.1,GO:0009535,C:chloroplast thylakoid membrane,0.82,,,1-32,180-191,,
KAI7840744.1,GO:0009707,C:chloroplast outer membrane,0.87,,,1-31,179-190,,
KAI7840748.1,GO:0005739,C:mitochondrion,0.95,,1-42,,,,
KAI7840750.1,GO:0009535,C:chloroplast thylakoid membrane,0.63,,,1-19,554-568,,
KAI7840751.1,GO:0012505,C:endomembrane system,1.0,,,,680-702;832-853;857-878;1102-1121,,
KAI7840753.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840756.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7840758.1,GO:0009535,C:chloroplast thylakoid membrane,0.74,,,1-63,156-167;459-474;4636-4647,,
KAI7840759.1,GO:0005739,C:mitochondrion,0.86,,1-24,,,,
KAI7840764.1,GO:0009535,C:chloroplast thylakoid membrane,0.79,,,1-28,282-293,,
KAI7840781.1,GO:0005739,C:mitochondrion,0.82,,1-45,,,,
KAI7840782.1,GO:0009707,C:chloroplast outer membrane,0.69,,,1-44,289-306,,
KAI7840789.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7840794.1,GO:0009507,C:chloroplast,0.7,,,,,,
KAI7840796.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840810.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840811.1,GO:0005886,C:plasma membrane,0.94,,,,35-46,,
KAI7840817.1,GO:0005634,C:nucleus,1.0,,,,,,
